DO,WT,pH,Tur,CHLa,Cond,COD,NH,TP,TN
12.97,13.48,8.18,13.27,11.21,405.3,3.66,0.03,0.02,0.71
12.32,13.89,8.14,25.1,13.58,406.35,3.77,0.03,0.04,0.79
12.64,14.92,8.24,13.51,13.38,406.6,3.77,0.03,0.03,0.6
12.69,15.41,8.3,9.23,16.82,406.43,3.76,0.03,0.03,0.51
11.2,15.06,8.07,24.98,10.3,409.06,2.9,0.03,0.03,0.71
10.87,14.78,8.06,15.57,7.79,411.54,3.33,0.03,0.03,0.64
10.68,14.53,7.97,34.73,5.68,412.26,3.18,0.04,0.03,0.84
10.42,15.24,7.97,33.88,5.76,414.66,3.35,0.05,0.04,1
10.77,14.16,7.98,40.29,5.49,416.27,3.33,0.04,0.04,0.97
10.94,12.8,7.97,32.78,6.53,413.2,3.16,0.05,0.04,0.97
10.89,12.12,7.97,19.86,5.73,410.98,3,0.06,0.03,0.74
10.96,12.13,7.95,17.47,2.41,414.04,2.85,0.06,0.03,0.69
10.95,12.34,7.93,19.84,2.1,417.44,2.8,0.06,0.03,0.81
10.8,12.34,7.9,16.26,3.74,416.68,2.8,0.07,0.03,0.74
10.67,12.48,7.86,20.32,2.78,417.3,2.74,0.09,0.03,0.83
10.7,12.54,7.85,20.8,2.56,413.89,2.76,0.09,0.03,0.81
10.76,12.09,7.87,23.63,1.87,414.92,2.84,0.1,0.04,0.92
11.01,11.73,7.92,22.34,3.63,412.67,2.76,0.1,0.03,0.93
11.23,12.3,7.96,23.56,5.9,411.01,2.92,0.1,0.03,0.94
11.5,13.05,8,22.42,7.76,418.26,2.91,0.09,0.03,0.93
11.62,13.24,8.01,26.43,10.13,416.52,3.23,0.06,0.03,1
11.73,13.28,8.06,27.55,13.81,416.2,3.21,0.04,0.03,1.01
11.24,13.34,7.96,28.97,6.47,415.85,3.02,0.09,0.04,1.04
11.63,13.58,8.08,29.11,13.13,432.27,3.09,0.05,0.03,1.05
12.28,15.16,8.27,21.01,16.87,445.31,3.39,0.03,0.03,0.96
11.96,15.41,8.22,26.58,15.39,425.43,3.38,0.03,0.03,0.95
10.93,15.17,8.12,60,17.63,420.13,3.68,0.04,0.06,1.31
10.63,14.63,8.07,36.29,19.45,417.71,3.51,0.05,0.05,1.14
10.58,14.25,7.96,71.29,12.64,416.55,3.43,0.08,0.06,1.3
10.41,13.91,8.01,47.24,14.37,406.05,4.24,0.09,0.05,1.18
10.84,14.21,8.06,43.8,11.99,405.63,3.69,0.08,0.05,1.13
11.74,15.51,8.27,38.05,18.37,425.42,3.74,0.06,0.04,1.26
12.46,16.05,8.37,38.28,19.59,420.77,3.87,0.04,0.04,1.18
12.72,16.55,8.42,40.52,22.36,420.01,3.82,0.04,0.04,1.16
13.43,17.72,8.58,75.98,32.22,417.41,4.08,0.04,0.05,1.08
12.05,17.75,8.58,55.19,34.41,417.11,4.35,0.05,0.05,1.04
11.02,17.26,8.53,47.47,32.49,426.01,4.36,0.05,0.05,1.14
11.1,17.76,8.6,26.28,32.63,424.92,4.07,0.04,0.04,1.09
11.05,18.22,8.37,35.88,15.83,434.11,3.75,0.04,0.04,1.15
11.1,20,8.44,50.06,13.09,432.98,3.77,0.05,0.05,1.1
9.86,19.73,8.23,32.49,7.24,427.61,3.49,0.05,0.04,1
9.65,21.03,8.18,23.29,6.44,427.76,3.3,0.04,0.03,1.01
9.22,22.17,8.11,21.77,6.58,431.47,3.28,0.05,0.03,1.09
8.71,22.36,8.01,25.84,5.65,434.21,3.35,0.06,0.04,1.09
8.71,21.89,7.96,33,7.26,432.92,3.43,0.07,0.04,1.1
9.25,19.28,7.99,37.66,7.94,430.36,3.46,0.08,0.04,1.15
9.55,17.79,7.96,39.35,7.3,428.32,3.53,0.09,0.04,1.19
10.02,16.4,7.96,45.62,7.3,433.96,3.32,0.11,0.05,1.18
10.09,16.11,7.99,42.95,9.52,436.3,3.07,0.1,0.05,1.17
10.6,16.81,8.03,45.01,9.17,435.75,3.18,0.11,0.05,0.96
10.83,17.55,8.08,39.73,13.44,436.19,3.21,0.08,0.05,0.98
11.29,18.28,8.18,40.06,19.11,437.78,3.23,0.06,0.05,0.94
